,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
1316,Who is the head coach of Dave Bautista?,0,Who is the head coach of Dave Bautista?,Кто является главным тренером Дэйва Батисты?,Qui est l'entraîneur principal de Dave Bautista ?,Wer ist der Cheftrainer von Dave Bautista?,מי המאמן הראשי של דייב באטיסטה?,من هو المدرب الرئيسي لديف باتيستا؟,戴夫·巴蒂斯塔的主教练是谁？
1317,Who does Marco Cassetti play with?,0,Who does Marco Cassetti play with?,С кем играет Марко Кассетти?,Avec qui Marco Cassetti joue-t-il ?,Mit wem spielt Marco Cassetti?,עם מי מרקו קסטי משחק?,مع من يلعب ماركو كاسيتّي؟,马尔科·卡塞蒂和谁一起踢球？
1318,Which music label represents Dave Brubeck?,0,Which music label represents Dave Brubeck?,Какой музыкальный лейбл представляет Дэйва Брубека?,Quelle maison de disques représente Dave Brubeck ?,Welches Musiklabel vertritt Dave Brubeck?,איזו חברת תקליטים מייצגת את דייב ברובק?,أي شركة تسجيلات تمثل ديف بروبك؟,哪家音乐厂牌代表戴夫·布鲁贝克？
0,,0,How old is Tom Hanks?,Сколько лет Тому Хэнксу?,Quel âge a Tom Hanks ?,Wie alt ist Tom Hanks?,בן כמה טום הנקס?,كم عمر توم هانكس؟,汤姆·汉克斯多大了？
1,,0,What is the age of Serena Williams?,Сколько лет Серене Уильямс?,Quel est l'âge de Serena Williams ?,Wie alt ist Serena Williams?,בן כמה סרינה ויליאמס?,كم عمر سيرينا ويليامز؟,塞雷娜·威廉姆斯多大了？
2,,0,How old is Angela Merkel?,Сколько лет Ангеле Меркель?,Quel âge a Angela Merkel ?,Wie alt ist Angela Merkel?,בת כמה אנגלה מרקל?,كم عمر أنجيلا ميركل؟,安格拉·默克尔多大了？
3,,0,What is Jane Goodall's age?,Сколько лет Джейн Гудолл?,Quel âge a Jane Goodall ?,Wie alt ist Jane Goodall?,בן כמה ג'יין גודול?,كم عمر جين جودال؟,简·古道尔今年多大了？
4,,0,How old is Cristiano Ronaldo?,Сколько лет Криштиану Роналду?,Quel âge a Cristiano Ronaldo ?,Wie alt ist Cristiano Ronaldo?,בן כמה כריסטיאנו רונאלדו?,كم عمر كريستيانو رونالدو؟,克里斯蒂亚诺·罗纳尔多多大了？
5,,0,How old is Oprah Winfrey?,Сколько лет Опре Уинфри?,Quel âge a Oprah Winfrey ?,Wie alt ist Oprah Winfrey?,בן כמהה אופרה ווינפרי?,كم عمر أوبرا وينفري؟,奥普拉·温弗瑞多大了？
6,,0,What is Bill Gates' age?,Сколько лет Биллу Гейтсу?,Quel âge a Bill Gates ?,Wie alt ist Bill Gates?,בן כמה ביל גייטס?,كم عمر بيل غيتس؟,比尔·盖茨多大年纪？
7,,0,What is Malala Yousafzai's age?,Сколько лет Малале Юсуфзай?,Quel âge a Malala Yousafzai ?,Wie alt ist Malala Yousafzai?,בן כמה/בת כמה מלאלה יוספזאי?,كم عمر ملالا يوسفزاي؟,马拉拉·优素福扎伊今年多大？
8,,0,How old is Leonardo DiCaprio?,Сколько лет Леонардо Ди Каприо?,Quel âge a Leonardo DiCaprio ?,Wie alt ist Leonardo DiCaprio?,בן כמה לאונרדו דיקפריו?,كم عمر ليوناردو دي كابريو؟,莱昂纳多·迪卡普里奥多大了？
9,,0,How old is Lionel Messi?,Сколько лет Лионелю Месси?,Quel âge a Lionel Messi ?,Wie alt ist Lionel Messi?,בן כמה ליאונל מסי?,كم عمر ليونيل ميسي؟,莱昂内尔·梅西多大了？
10,,0,What is Michelle Obama's age?,Сколько лет Мишель Обаме?,Quel âge a Michelle Obama ?,Wie alt ist Michelle Obama?,בן כמה מישל אובמה?,كم عمر ميشيل أوباما؟,米歇尔·奥巴马今年多大？
11,,0,What is Jeff Bezos' current age?,Сколько лет сейчас Джеффу Безосу?,Quel est l'âge actuel de Jeff Bezos ?,Wie alt ist Jeff Bezos derzeit?,בן כמה ג'ף בזוס כיום?,ما هو عمر جيف بيزوس الحالي؟,杰夫·贝索斯现在多大年纪？
12,,0,How old is Adele?,Сколько лет Адель?,Quel âge a Adele ?,Wie alt ist Adele?,בן כמה אדל?,كم عمر أديل؟,阿黛尔多大了？
13,,0,What is Roger Federer's age?,Сколько лет Роджеру Федереру?,Quel âge a Roger Federer ?,Wie alt ist Roger Federer?,בן כמה רוג'ר פדרר?,كم عمر روجر فيدرر؟,罗杰·费德勒多大年纪？
14,,0,How old is J.K. Rowling?,Сколько лет Дж. К. Роулинг?,Quel âge a J.K. Rowling ?,Wie alt ist J.K. Rowling?,בן כמהה ג'יי קיי רולינג?,كم عمر ج. ك. رولينغ؟,J.K.罗琳多大了？
15,,0,What is Pope Francis's current age?,Сколько лет сейчас папе Франциску?,Quel est l'âge actuel du pape François ?,Wie alt ist Papst Franziskus derzeit?,בן כמה האפיפיור פרנסיס כיום?,كم عمر البابا فرنسيس الحالي؟,教皇方济各现在多大年纪？
16,,0,What is Greta Thunberg's current age?,Сколько лет сейчас Грете Тунберг?,Quel est l'âge actuel de Greta Thunberg ?,Wie alt ist Greta Thunberg derzeit?,בן כמה גרטה טונברג כיום?,كم عمر غريتا ثونبرغ حالياً؟,格蕾塔·通贝里的现年龄是多少？
17,,0,What is Keanu Reeves' age?,Сколько лет Киану Ривзу?,Quel âge a Keanu Reeves ?,Wie alt ist Keanu Reeves?,בן כמה קיאנו ריבס?,كم عمر كيانو ريفز؟,基努·里维斯多大了？
18,,0,How old is Novak Djokovic?,Сколько лет Новаку Джоковичу?,Quel âge a Novak Djokovic ?,Wie alt ist Novak Djokovic?,בן כמה נובאק ג'וקוביץ'?,كم عمر نوفاك ديوكوفيتش؟,诺瓦克·德约科维奇多大了？
19,,0,How old is Beyoncé?,Сколько лет Бейонсе?,Quel âge a Beyoncé ?,Wie alt ist Beyoncé?,בן כמה ביונסה?,كم عمر بيونسيه؟,碧昂丝多大了？
20,,0,What is Jerry Seinfeld's age?,Сколько лет Джерри Сайнфелду?,Quel âge a Jerry Seinfeld ?,Wie alt ist Jerry Seinfeld?,בן כמה ג'רי סיינפלד?,كم عمر جيري ساينفيلد؟,杰瑞·宋飞几岁？
21,,0,What is the age of Arnold Schwarzenegger?,Сколько лет Арнольду Шварценеггеру?,Quel est l'âge d'Arnold Schwarzenegger ?,Wie alt ist Arnold Schwarzenegger?,בן כמה ארנולד שוורצנגר?,كم عمر أرنولد شوارزنيجر؟,阿诺德·施瓦辛格今年多大？
22,,0,How old is Dick Wolf?,Сколько лет Дику Вулфу?,Quel âge a Dick Wolf ?,Wie alt ist Dick Wolf?,בן כמה דיק וולף?,كم عمر ديك وولف؟,迪克·沃尔夫多大了？
23,,0,What is Bruce Springsteen's age?,Сколько лет Брюсу Спрингстину?,Quel âge a Bruce Springsteen ?,Wie alt ist Bruce Springsteen?,בן כמה ברוס ספרינגסטין?,كم عمر بروس سبرينغستين؟,布鲁斯·斯普林斯汀今年多大？
24,,0,What is LeBron James's age?,Сколько лет Леброну Джеймсу?,Quel âge a LeBron James ?,Wie alt ist LeBron James?,בן כמה לברון ג'יימס?,كم عمر ليبرون جيمس؟,勒布朗·詹姆斯多大了？
25,,0,How old is Rihanna?,Сколько лет Рианне?,Quel âge a Rihanna ?,Wie alt ist Rihanna?,בן כמה ריהאנה?,كم عمر ريهانا؟,蕾哈娜多大了？
26,,0,How old is Taylor Swift?,Сколько лет Тейлор Свифт?,Quel âge a Taylor Swift ?,Wie alt ist Taylor Swift?,בן כמה טיילור סוויפט?,كم عمر تايلور سويفت؟,泰勒·斯威夫特多大了？
27,,0,How old is Elon Musk?,Сколько лет Илону Маску?,Quel âge a Elon Musk ?,Wie alt ist Elon Musk?,בן כמה אילון מאסק?,كم عمر إيلون ماسك؟,埃隆·马斯克多大了？
28,,0,How old is Joe Biden?,Сколько лет Джо Байдену?,Quel âge a Joe Biden ?,Wie alt ist Joe Biden?,בן כמה ג'ו ביידן?,كم عمر جو بايدن؟,乔·拜登多大年纪？
29,,0,How old is Kamala Harris?,Сколько лет Камале Харрис?,Quel âge a Kamala Harris ?,Wie alt ist Kamala Harris?,בת כמה קמלה האריס?,كم عمر كامالا هاريس؟,卡马拉·哈里斯多大了？
30,,1,What was the age of Albert Einstein at the time of his death?,Сколько лет было Альберту Эйнштейну на момент его смерти?,Quel âge avait Albert Einstein au moment de sa mort ?,Wie alt war Albert Einstein zum Zeitpunkt seines Todes?,בן כמה היה אלברט איינשטיין בזמן מותו?,كم كان عمر ألبرت أينشتاين عند وفاته؟,爱因斯坦去世时多少岁？
31,,1,At what age did Marie Curie pass away?,В каком возрасте умерла Мария Кюри?,À quel âge Marie Curie est-elle décédée ?,In welchem Alter ist Marie Curie gestorben?,בְּאֵיזוֹ גִּיל מָרִי קִיוּרִי נִפְטְרָה?,في أي عمر توفيت ماري كوري؟,玛丽·居里去世时是多少岁？
32,,1,What was Leonardo da Vinci's age at the time of his death?,Сколько лет было Леонардо да Винчи на момент его смерти?,Quel âge avait Léonard de Vinci au moment de sa mort ?,Wie alt war Leonardo da Vinci zum Zeitpunkt seines Todes?,בן כמה היה לאונרדו דה וינצ'י בזמן מותו?,كم كان عمر ليوناردو دافنشي عند وفاته؟,莱昂纳多·达·芬奇去世时多少岁？
33,,1,How old was William Shakespeare when he died?,"Сколько лет было Уильяму Шекспиру, когда он умер?",Quel âge avait William Shakespeare lorsqu'il est mort ?,"Wie alt war William Shakespeare, als er starb?",בן כמה היה ויליאם שייקספיר כשהוא מת?,كم كان عمر ويليام شكسبير عندما توفي؟,威廉·莎士比亚去世时多少岁？
34,,1,At what age did Alexander the Great pass away?,В каком возрасте умер Александр Македонский?,À quel âge Alexandre le Grand est-il décédé ?,In welchem Alter ist Alexander der Große gestorben?,בְּאֵיזֶה גִּיל אַלֶכְּסַנְדֶּר הַגָּדוֹל נִפְטַר?,في أي عمر توفي الإسكندر الأكبر؟,亚历山大大帝在多少岁时去世？
35,,1,How old was Julius Caesar when he died?,"Сколько лет было Юлию Цезарю, когда он умер?",Quel âge avait Jules César lorsqu'il est mort ?,"Wie alt war Julius Cäsar, als er starb?",בן כמה היה יוליוס קיסר כשהוא מת?,كم كان عمر يوليوس قيصر عندما توفي؟,尤利乌斯·凯撒去世时多少岁？
36,,1,At what age did Cleopatra pass away?,В каком возрасте умерла Клеопатра?,À quel âge Cléopâtre est-elle décédée ?,In welchem Alter ist Kleopatra gestorben?,באיזה גיל נפטרה קלאופטרה?,في أي عمر توفيت كليوباترا؟,克娄巴特拉去世时是多少岁？
37,,1,How old was Caesar Augustus when he died?,"Сколько лет было Гаю Юлию Цезарю Августу, когда он умер?",Quel âge avait César Auguste lorsqu'il est mort ?,"Wie alt war Kaiser Augustus, als er starb?",בן כמה היה קיסר אוגוסטוס כשהוא מת?,كم كان عمر القيصر أوغسطس عندما توفي؟,凯撒·奥古斯都去世时多少岁？
38,,1,What was Wu Zetian's age at the time of her death?,Сколько лет было У Цзэтянь на момент её смерти?,Quel âge avait Wu Zetian au moment de sa mort ?,Wie alt war Wu Zetian zum Zeitpunkt ihres Todes?,בן כמה הייתה וו צה טיין בזמן מותה?,كم كان عمر وو تسيتيان عند وفاتها؟,武则天去世时多少岁？
39,,1,At what age did Alfred the Great die?,В каком возрасте умер Альфред Великий?,À quel âge Alfred le Grand est-il mort ?,In welchem Alter starb Alfred der Große?,בגיל כמה נפטר אלפרד הגדול?,في أي عمر توفي ألفريد العظيم؟,阿尔弗雷德大帝去世时多少岁？
40,,1,How old was Isaac Newton when he died?,"Сколько лет было Исааку Ньютону, когда он умер?",Quel âge avait Isaac Newton lorsqu'il est mort ?,"Wie alt war Isaac Newton, als er starb?",בן כמה היה אייזק ניוטון כשהוא נפטר?,كم كان عمر إسحاق نيوتن عندما توفي؟,艾萨克·牛顿去世时多少岁？
41,,1,How old was Jane Austen when she died?,"Сколько лет было Джейн Остин, когда она умерла?",Quel âge avait Jane Austen lorsqu'elle est morte ?,"Wie alt war Jane Austen, als sie starb?",בת כמה הייתה ג'יין אוסטן כשהיא נפטרה?,كم كان عمر جين أوستن عندما توفيت؟,简·奥斯汀去世时多大年纪？
42,,1,At what age did Ludwig van Beethoven pass away?,В каком возрасте скончался Людвиг ван Бетховен?,À quel âge Ludwig van Beethoven est-il décédé ?,In welchem Alter ist Ludwig van Beethoven gestorben?,בגיל כמה לודוויג ואן בטהובן נפטר?,في أي عمر توفي لودفيج فان بيتهوفن؟,路德维希·范·贝多芬去世时是多少岁？
43,,1,How old was Abraham Lincoln when he died?,"Сколько лет было Аврааму Линкольну, когда он умер?",Quel âge avait Abraham Lincoln lorsqu'il est mort ?,"Wie alt war Abraham Lincoln, als er starb?",בן כמה היה אברהם לינקולן כשהוא מת?,كم كان عمر أبراهام لينكولن عندما توفي؟,亚伯拉罕·林肯去世时多少岁？
44,,1,How old was Charles Darwin when he died?,"Сколько лет было Чарльзу Дарвину, когда он умер?",Quel âge avait Charles Darwin lorsqu'il est mort ?,"Wie alt war Charles Darwin, als er starb?",בן כמה היה צ'ארלס דרווין כשהוא נפטר?,كم كان عمر تشارلز داروين عندما توفي؟,查尔斯·达尔文去世时多少岁？
45,,1,How old was Michelangelo when he died?,"Сколько лет было Микеланджело, когда он умер?",Quel âge avait Michel-Ange lorsqu'il est mort ?,"Wie alt war Michelangelo, als er starb?",בן כמה היה מיכלאנג'לו כשהוא נפטר?,كم كان عمر ميكيلانجيلو عندما توفي؟,米开朗基罗去世时多少岁？
46,,1,How old was Queen Victoria when she died?,"Сколько лет было королеве Виктории, когда она умерла?",Quel âge avait la reine Victoria lorsqu'elle est morte ?,"Wie alt war Königin Victoria, als sie starb?",בת כמה הייתה המלכה ויקטוריה כשהיא נפטרה?,كم كان عمر الملكة فيكتوريا عندما توفيت؟,维多利亚女王去世时多少岁？
47,,1,How old was Wolfgang Amadeus Mozart when he died?,"Сколько лет было Вольфгангу Амадею Моцарту, когда он умер?",Quel âge avait Wolfgang Amadeus Mozart lorsqu'il est mort ?,"Wie alt war Wolfgang Amadeus Mozart, als er starb?",בן כמה היה וולפגנג אמדאוס מוצרט כשהוא נפטר?,كم كان عمر فولفغانغ أماديوس موزارت عندما توفي؟,沃尔夫冈·阿马德乌斯·莫扎特去世时几岁？
48,,1,At what age did Edgar Allan Poe pass away?,В каком возрасте скончался Эдгар Аллан По?,À quel âge Edgar Allan Poe est-il décédé ?,In welchem Alter ist Edgar Allan Poe gestorben?,בגיל כמה אדגר אלן פו נפטר?,في أي عمر توفي إدغار آلان بو؟,埃德加·爱伦·坡去世时是多少岁？
49,,1,How old was Frederick Douglass when he died?,"Сколько лет было Фредерику Дуглассу, когда он умер?",Quel âge avait Frederick Douglass lorsqu'il est mort ?,"Wie alt war Frederick Douglass, als er starb?",בן כמה היה פרדריק דאגלס כשהוא נפטר?,كم كان عمر فريدريك دوغلاس عندما توفي؟,弗雷德里克·道格拉斯去世时几岁？
50,,1,How old was Galileo Galilei when he died?,"Сколько лет было Галилео Галилею, когда он умер?",Quel âge avait Galilée lorsqu'il est mort ?,"Wie alt war Galileo Galilei, als er starb?",בן כמה היה גלילאו גליליי כשהוא נפטר?,كم كان عمر غاليليو غاليلي عندما توفي؟,伽利略·伽利莱去世时多少岁？
51,,1,"At the time of her death, how many years had Emily Dickinson lived?",На момент своей смерти сколько лет прожила Эмили Дикинсон?,"Au moment de sa mort, combien d'années Emily Dickinson avait-elle vécues ?",Wie viele Jahre hatte Emily Dickinson zum Zeitpunkt ihres Todes gelebt?,"בזמן מותה, כמה שנים חיה אמילי דיקינסון?",عند وفاتها، كم سنة عاشت إميلي ديكنسون؟,在去世时，艾米莉·狄金森活了多少年？
52,,1,What was Karl Marx's age at the time of his death?,Сколько лет было Карлу Марксу на момент его смерти?,Quel âge avait Karl Marx au moment de sa mort ?,Wie alt war Karl Marx zum Zeitpunkt seines Todes?,בן כמה היה קרל מרקס בזמן מותו?,كم كان عمر كارل ماركس عند وفاته؟,卡尔·马克思去世时多少岁？
53,,1,At what age did Catherine the Great pass away?,В каком возрасте умерла Екатерина Великая?,À quel âge Catherine la Grande est-elle décédée ?,In welchem Alter ist Katharina die Große gestorben?,באיזה גיל נפטרה יקטרינה הגדולה?,في أي عمر توفيت كاثرين العظمى؟,叶卡捷琳娜大帝去世时是多少岁？
54,,1,How old was Vincent van Gogh when he died?,"Сколько лет было Винсенту ван Гогу, когда он умер?",Quel âge avait Vincent van Gogh lorsqu'il est mort ?,"Wie alt war Vincent van Gogh, als er starb?",בן כמה היה וינסנט ואן גוך כשהוא מת?,كم كان عمر فينسنت فان جوخ عندما توفي؟,文森特·梵高去世时多少岁？
55,,1,What was Nikola Tesla's age at the time of his death?,Сколько лет было Николе Тесле на момент его смерти?,Quel âge avait Nikola Tesla au moment de sa mort ?,Wie alt war Nikola Tesla zum Zeitpunkt seines Todes?,בן כמה היה ניקולה טסלה בזמן מותו?,كم كان عمر نيكولا تسلا عند وفاته؟,尼古拉·特斯拉去世时多少岁？
56,,1,How old was Harriet Tubman when she died?,"Сколько лет было Гарриет Табмен, когда она умерла?",Quel âge avait Harriet Tubman lorsqu'elle est décédée ?,"Wie alt war Harriet Tubman, als sie starb?",בן כמה הייתה הארייט טאבמן כשהיא נפטרה?,كم كان عمر هارييت توبمان عندما توفيت؟,哈丽雅特·塔布曼去世时多大年纪？
57,,1,At what age did Johann Sebastian Bach pass away?,В каком возрасте скончался Иоганн Себастьян Бах?,À quel âge Johann Sebastian Bach est-il décédé ?,In welchem Alter ist Johann Sebastian Bach gestorben?,בְּאֵיזוֹ גִּיל נִפְטַר יוהאן סבסטיאן באך?,في أي عمر توفي يوهان سباستيان باخ؟,约翰·塞巴斯蒂安·巴赫去世时是多少岁？
58,,1,What was Mark Twain's age at the time of his death?,Сколько лет было Марку Твену на момент его смерти?,Quel âge avait Mark Twain au moment de sa mort ?,Wie alt war Mark Twain zum Zeitpunkt seines Todes?,בן כמה היה מארק טוויין בזמן מותו?,كم كان عمر مارك توين عند وفاته؟,马克·吐温去世时多少岁？
59,,1,How old was Socrates when he died?,"Сколько лет было Сократу, когда он умер?",Quel âge avait Socrate lorsqu'il est mort ?,"Wie alt war Sokrates, als er starb?",בן כמה היה סוקרטס כשהוא מת?,كم كان عمر سقراط عندما توفي؟,苏格拉底去世时多少岁？
0,,0,What is the age of Tom Hanks?,Сколько лет Тому Хэнксу?,Quel est l'âge de Tom Hanks ?,Wie alt ist Tom Hanks?,בן כמה טום הנקס?,كم عمر توم هانكس؟,汤姆·汉克斯多大了？
1,,0,How many years old is Meryl Streep?,Сколько лет Мерил Стрип?,Quel âge a Meryl Streep ?,Wie alt ist Meryl Streep?,בן כמה מריל סטריפ?,كم عمر ميريل ستريب؟,梅丽尔·斯特里普今年几岁？
2,,0,What age is George Clooney?,Сколько лет Джорджу Клуни?,Quel âge a George Clooney ?,Wie alt ist George Clooney?,בן כמה ג'ורג' קלוני?,كم عمر جورج كلوني؟,乔治·克鲁尼多大了？
3,,0,Can you tell me how old Nicole Kidman is?,"Можете ли вы сказать, сколько лет Николь Кидман?",Pouvez-vous me dire quel âge a Nicole Kidman ?,"Können Sie mir sagen, wie alt Nicole Kidman ist?",אתה יכול להגיד לי בת כמה ניקול קידמן?,هل يمكنك أن تخبرني كم عمر نيكول كيدمان؟,你能告诉我妮可·基德曼多大了吗？
4,,0,Do you know the age of Denzel Washington?,"Вы знаете, сколько лет Дензелу Вашингтону?",Connaissez-vous l'âge de Denzel Washington ?,"Wissen Sie, wie alt Denzel Washington ist?",האם אתה יודע בן כמה דנזל וושינגטון?,هل تعرف عمر دينزل واشنطن؟,你知道丹泽尔·华盛顿的年龄吗？
5,,0,What is the age of Julia Roberts?,Сколько лет Джулии Робертс?,Quel est l'âge de Julia Roberts ?,Wie alt ist Julia Roberts?,בן כמה ג'וליה רוברטס?,كم عمر جوليا روبرتس؟,朱莉娅·罗伯茨今年多大？
6,,0,How many years old is Hugh Jackman?,Сколько лет Хью Джекману?,Quel âge a Hugh Jackman ?,Wie alt ist Hugh Jackman?,בן כמה יו ג'קמן?,كم عمر هيو جاكمان؟,休·杰克曼今年几岁？
7,,0,What age is Emma Watson?,Сколько лет Эмме Уотсон?,Quel âge a Emma Watson ?,Wie alt ist Emma Watson?,בן כמה אמה ווטסון?,كم عمر إيما واتسون؟,艾玛·沃特森多大了？
8,,0,Can you tell me how old Daniel Radcliffe is?,"Можете ли вы сказать, сколько лет Дэниелу Рэдклиффу?",Pouvez-vous me dire quel âge a Daniel Radcliffe ?,"Können Sie mir sagen, wie alt Daniel Radcliffe ist?",אתה יכול להגיד לי בן כמה דניאל רדקליף?,هل يمكنك أن تخبرني كم عمر دانيال رادكليف؟,你能告诉我丹尼尔·雷德克里夫多大了吗？
9,,0,Do you know the age of Chris Hemsworth?,"Вы знаете, сколько лет Крису Хемсворту?",Connaissez-vous l'âge de Chris Hemsworth ?,"Weißt du, wie alt Chris Hemsworth ist?",האם אתה יודע בן כמה כריס המסוורת'?,هل تعرف عمر كريس هيمسورث؟,你知道克里斯·海姆斯沃斯的年龄吗？
10,,0,What is the age of Bad Bunny?,Сколько лет Бэд Банни?,Quel est l'âge de Bad Bunny ?,Wie alt ist Bad Bunny?,בן כמה באד באני?,كم عمر باد باني؟,Bad Bunny 今年几岁？
11,,0,How many years old is Dua Lipa?,Сколько лет Дуа Липе?,Quel âge a Dua Lipa ?,Wie alt ist Dua Lipa?,בן כמה דואה ליפה?,كم عمر دوا ليبا؟,杜阿·利帕今年几岁？
12,,0,What age is The Weeknd?,Сколько лет The Weeknd?,Quel âge a The Weeknd ?,Wie alt ist The Weeknd?,בן כמה The Weeknd?,كم عمر The Weeknd؟,The Weeknd 今年多大？
13,,0,Can you tell me how old Post Malone is?,"Можешь сказать, сколько лет Пост Мэлоуну?",Peux-tu me dire quel âge a Post Malone ?,"Kannst du mir sagen, wie alt Post Malone ist?",אתה יכול להגיד לי בן כמה פוסט מאלון?,هل يمكنك أن تخبرني كم عمر بوست مالون؟,你能告诉我Post Malone多大了吗？
14,,0,Do you know the age of Olivia Rodrigo?,"Ты знаешь, сколько лет Оливии Родриго?",Connais-tu l'âge d'Olivia Rodrigo ?,"Weißt du, wie alt Olivia Rodrigo ist?",אתה יודע בת כמה אוליביה רודריגו?,هل تعرف عمر أوليفيا رودريغو؟,你知道奥利维亚·罗德里戈几岁吗？
15,,0,What is the age of Lil Nas X?,Сколько лет Lil Nas X?,Quel est l'âge de Lil Nas X ?,Wie alt ist Lil Nas X?,בן כמה ליל נאס X?,كم عمر ليل ناس إكس؟,Lil Nas X 今年多大？
16,,0,How many years old is Doja Cat?,Сколько лет Додже Кэт?,Quel âge a Doja Cat ?,Wie alt ist Doja Cat?,בן כמה דוג'ה קאט?,كم عمر دوجا كات؟,Doja Cat今年几岁？
17,,0,What age is Shakira?,Сколько лет Шакире?,Quel âge a Shakira ?,Wie alt ist Shakira?,בן כמה שאקירה?,كم عمر شاكيرا؟,夏奇拉多大了？
18,,0,Can you tell me how old Jennifer Lopez is?,"Можете ли вы сказать, сколько лет Дженнифер Лопес?",Pouvez-vous me dire quel âge a Jennifer Lopez ?,"Können Sie mir sagen, wie alt Jennifer Lopez ist?",אתה יכול להגיד לי בת כמה ג'ניפר לופז?,هل يمكنك أن تخبرني كم عمر جينيفر لوبيز؟,你能告诉我詹妮弗·洛佩兹多大了吗？
19,,0,Do you know the age of Justin Trudeau?,"Вы знаете, сколько лет Джастину Трюдо?",Connaissez-vous l'âge de Justin Trudeau ?,"Wissen Sie, wie alt Justin Trudeau ist?",האם אתה יודע בן כמה ג'סטין טרודו?,هل تعرف عمر جاستن ترودو؟,你知道贾斯廷·特鲁多的年龄吗？
20,,0,What is the age of Narendra Modi?,Сколько лет Нарендре Моди?,Quel est l'âge de Narendra Modi ?,Wie alt ist Narendra Modi?,בן כמה נרנדרה מודי?,كم عمر ناريندرا مودي؟,纳伦德拉·莫迪今年多大？
21,,0,How many years old is Jacinda Ardern?,Сколько лет Джасинде Ардерн?,Quel âge a Jacinda Ardern ?,Wie alt ist Jacinda Ardern?,בן כמה ג'סינדה ארדרן?,كم عمر جاسيندا أرديرن؟,杰辛达·阿德恩今年几岁？
22,,0,What age is Olaf Scholz?,Сколько лет Олафу Шольцу?,Quel âge a Olaf Scholz ?,Wie alt ist Olaf Scholz?,בן כמה אולף שולץ?,كم عمر أولاف شولتس؟,奥拉夫·朔尔茨今年多大？
23,,0,Can you tell me how old Fumio Kishida is?,"Можете ли вы сказать, сколько лет Фумио Кисиде?",Pouvez-vous me dire quel âge a Fumio Kishida ?,"Können Sie mir sagen, wie alt Fumio Kishida ist?",אתה יכול להגיד לי בן כמה פומיו קישידה?,هل يمكنك أن تخبرني كم عمر فوميو كيشيدا؟,你能告诉我岸田文雄多大了吗？
24,,0,Do you know the age of Yoon Suk-yeol?,Вы знаете возраст Юн Сок Ёля?,Connaissez-vous l'âge de Yoon Suk-yeol ?,"Wissen Sie, wie alt Yoon Suk-yeol ist?",האם אתה יודע בן כמה יון סוק-יול?,هل تعرف عمر يون سوك يول؟,你知道尹锡悦的年龄吗？
25,,0,What is the age of Naomi Osaka?,Сколько лет Наоми Осака?,Quel âge a Naomi Osaka ?,Wie alt ist Naomi Osaka?,בן כמה נעמי אוסקה?,كم عمر نعومي أوساكا؟,大坂直美今年几岁？
26,,0,How many years old is Lewis Hamilton?,Сколько лет Льюису Хэмилтону?,Quel âge a Lewis Hamilton ?,Wie alt ist Lewis Hamilton?,בן כמה לואיס המילטון?,كم عمر لويس هاميلتون؟,刘易斯·汉密尔顿今年几岁？
27,,0,What age is Virat Kohli?,Сколько лет Вирату Кохли?,Quel âge a Virat Kohli ?,Wie alt ist Virat Kohli?,בן כמה ויראט קוהלי?,كم عمر فيرات كوهلي؟,维拉特·科利多大了？
28,,0,Can you tell me how old Novak Djokovic is?,"Можете ли вы сказать, сколько лет Новаку Джоковичу?",Pouvez-vous me dire quel âge a Novak Djokovic ?,"Können Sie mir sagen, wie alt Novak Djokovic ist?",אתה יכול להגיד לי בן כמה נובאק ג'וקוביץ'?,هل يمكنك أن تخبرني كم عمر نوفاك دجوكوفيتش؟,你能告诉我诺瓦克·德约科维奇今年多大了吗？
29,,0,Do you know the age of Rafael Nadal?,"Вы знаете, сколько лет Рафаэлю Надалю?",Connaissez-vous l'âge de Rafael Nadal ?,"Weißt du, wie alt Rafael Nadal ist?",האם אתה יודע בן כמה רפאל נדאל?,هل تعرف عمر رافاييل نادال؟,你知道拉斐尔·纳达尔的年龄吗？
30,,0,What is the age of Stephen Curry?,Сколько лет Стефену Карри?,Quel est l'âge de Stephen Curry ?,Wie alt ist Stephen Curry?,בן כמה סטפן קרי?,كم عمر ستيفن كاري؟,斯蒂芬·库里的年龄是多少？
31,,0,How many years old is Kevin Durant?,Сколько лет Кевину Дюранту?,Quel âge a Kevin Durant ?,Wie alt ist Kevin Durant?,בן כמה קווין דוראנט?,كم عمر كيفن دورانت؟,凯文·杜兰特今年几岁？
32,,0,What age is Satya Nadella?,Сколько лет Сатье Наделле?,Quel âge a Satya Nadella ?,Wie alt ist Satya Nadella?,בן כמה סאטיה נאדלה?,كم عمر ساتيا ناديلا؟,萨蒂亚·纳德拉多大了？
33,,0,Can you tell me how old Mary Barra is?,"Можете ли вы сказать, сколько лет Мэри Барра?",Pouvez-vous me dire quel âge a Mary Barra ?,"Können Sie mir sagen, wie alt Mary Barra ist?",אתה יכול להגיד לי בת כמה מרי בארה?,هل يمكنك أن تخبرني كم عمر ماري بارا؟,你能告诉我玛丽·巴拉多大了吗？
