,is_evergreen,en_Answer,English,French,German,Hebrew,Arabic,Chinese,Russian
1481,0,"Alexei Ponikarovsky played for several Canadian hockey clubs, such as the Toronto Maple Leafs, Winnipeg Jets, and so on.",For which Canadian hockey club did Alexei Ponikarovsky play?,Pour quel club de hockey canadien Alexei Ponikarovsky a-t-il joué ?,Für welchen kanadischen Eishockeyverein spielte Alexei Ponikarovsky?,באיזה מועדון הוקי קנדי שיחק אלכסיי פוניקארובסקי?,لأي نادٍ كندي للهوكي لعب أليكسي بونيكاروفسكي؟,阿列克谢·波尼卡罗夫斯基曾效力于哪支加拿大冰球队？,В каком канадском хоккейном клубе играл Алексей Поникаровский?
1482,1,Viktor Tsoi is buried at the Bogoslovskoe Cemetery in Saint Petersburg.,Where is Tsoi buried?,Où Tsoi est-il enterré ?,Wo ist Tsoi begraben?,איפה טסוי קבור?,أين دُفن تسوي؟,崔在哪里安葬？,Где похоронен Цой?
1483,1,"Four directors worked on the Harry Potter film series: Chris Columbus, Alfonso Cuarón, Mike Newell, and David Yates.",Who is the director of the Harry Potter film?,Qui est le réalisateur du film Harry Potter ?,Wer ist der Regisseur des Harry-Potter-Films?,מי הבמאי של סרט הארי פוטר?,من هو مخرج فيلم هاري بوتر؟,哈利·波特电影的导演是谁？,Кто режиссер фильма Гарри Поттер?
1484,1,"The development of the ""ConsultantPlus"" system was initially carried out by the Scientific Production Association ""Computational Mathematics and Informatics"" (NPO ""VMI""). Then a separate company ""ConsultantPlus"" was created.",The developer company of Consultant Plus?,Quelle est l'entreprise développeuse de Consultant Plus ?,Welches Unternehmen ist der Entwickler von Consultant Plus?,מהי חברת הפיתוח של Consultant Plus?,ما هي الشركة المطورة لـ Consultant Plus؟,Consultant Plus 的开发公司是哪家？,Компания разработчик Консультант Плюс?
1485,1,The actress Irina Lachina is the daughter of Svetlana Toma.,Who is Svetlana Toma's daughter?,Qui est la fille de Svetlana Toma ?,Wer ist die Tochter von Svetlana Toma?,מי היא בתה של סבטלנה תומה?,من هي ابنة سفيتلانا توما؟,斯维特拉娜·托马的女儿是谁？,Кто дочь Светланы Тома?
1486,1,Giuseppe Fortunino Francesco Verdi was an Italian composer. Verdi's works are among the greatest achievements of the world of opera and the culmination of the development of Italian opera in the 19th century.,In which direction did Giuseppe Verdi create?,Dans quelle direction Giuseppe Verdi a-t-il créé ?,In welche Richtung hat Giuseppe Verdi geschaffen?,באיזו דרך יצר ג'וזפה ורדי?,في أي اتجاه أبدع جوزيبي فيردي؟,朱塞佩·威尔第是在什么方向上创作的？,В каком направлении творил Джузеппе Верди?
1487,1,The final of the 2012 European Football Championship took place on 1 July 2012 at the Olympic Stadium in Kiev.,"At which stadium, on July 1 in Kyiv, was the final match of the 2012 UEFA European Football Championship held?","Dans quel stade, le 1er juillet à Kiev, s'est tenue la finale du Championnat d'Europe de football UEFA 2012 ?",In welchem Stadion fand am 1. Juli in Kiew das Endspiel der UEFA-Fußball-Europameisterschaft 2012 statt?,"באיזה אצטדיון, ב-1 ביולי בקייב, התקיים משחק הגמר של אליפות אירופה בכדורגל של אופ״א 2012?",في أي ملعب، في الأول من يوليو في كييف، أُقيمت المباراة النهائية لبطولة أمم أوروبا لكرة القدم 2012؟,2012年欧洲足球锦标赛的决赛于7月1日在基辅的哪个体育场举行？,"На каком стадионе, 1 июля в Киеве, прошёл финальный матч чемпионата Европы по футболу 2012 года?"
1488,1,The main mineral of limestone is calcium carbonate - CaCO3 (calcite).,What mineral is the main component of limestone?,Quel minéral est le principal composant du calcaire ?,Welches Mineral ist der Hauptbestandteil von Kalkstein?,איזה מינרל הוא המרכיב העיקרי של אבן גיר?,ما هو المعدن الرئيسي المكوّن للحجر الجيري؟,石灰岩的主要成分是什么矿物？,Какой минерал является основной составляющей частью известняка?
1489,1,"Agnetha Fältskog, a member of the group ""ABBA"", was a blonde.",Which member of the group 'ABBA' was the blonde?,Quel membre du groupe 'ABBA' était la blonde ?,Welches Mitglied der Gruppe 'ABBA' war die Blonde?,איזה חבר בלהקת 'ABBA' הייתה הבלונדינית?,من كان العضو الأشقر في فرقة 'ABBA'؟,ABBA乐队中哪位成员是金发女郎？,"Кто из участников группы ""АББА"" был блондинкой?"
1490,1,Abel is the brother of Cain.,What was the name of Cain's brother?,Quel était le nom du frère de Caïn ?,Wie hieß der Bruder von Kain?,מה היה שמו של אחיו של קין?,ما اسم أخو قابيل؟,该隐的兄弟叫什么名字？,Как звали брата Каина?
1491,1,The Moscow Agricultural Academy is named after the renowned scientist - plant physiologist K.A. Timiryazev.,After whom is the Moscow Agricultural Academy named?,D'après qui l'Académie agricole de Moscou porte-t-elle son nom ?,Nach wem ist die Moskauer Landwirtschaftsakademie benannt?,על שם מי נקראת האקדמיה החקלאית של מוסקבה?,على اسم من سميت أكاديمية موسكو الزراعية؟,莫斯科农业学院是以谁的名字命名的？,В честь кого названа Московская сельскохозяйственная академия
1492,1,"Georgy Rerberg was the cinematographer for Andrei Tarkovsky's film ""Mirror"".",Who is the cinematographer of the film Mirror?,Qui est le directeur de la photographie du film Miroir ?,Wer ist der Kameramann des Films Spiegel?,מיהו הצלם של הסרט מראה?,من هو مدير التصوير السينمائي لفيلم المرآة؟,电影《镜子》的摄影师是谁？,Кто оператор фильма Зеркало?
1493,1,"The main building of MSU is a ""Stalinist skyscraper"", an example of Stalinist Empire style.",What is the architectural style of the MSU building?,Quel est le style architectural du bâtiment de la MSU ?,Welcher Architekturstil hat das MSU-Gebäude?,מהו הסגנון האדריכלי של בניין MSU?,ما هو الطراز المعماري لمبنى MSU؟,MSU大楼的建筑风格是什么？,Какой архитектурный стиль здания МГУ?
1494,1,"The Maastricht Treaty, signed on 7 February 1992, formally marked the creation of the European Union.","Which document, signed on February 7, 1992, marked the beginning of the European Union?","Quel document, signé le 7 février 1992, a marqué le début de l'Union européenne ?","Welches Dokument, das am 7. Februar 1992 unterzeichnet wurde, markierte den Beginn der Europäischen Union?","איזה מסמך, שנחתם ב-7 בפברואר 1992, סימן את תחילתה של האיחוד האירופי?",ما هو الوثيقة التي وُقعت في 7 فبراير 1992 والتي شكلت بداية الاتحاد الأوروبي؟,哪一份于1992年2月7日签署的文件标志着欧盟的开始？,"Какой документ, подписанный 7 февраля 1992 года, положил начало Европейскому Союзу?"
1495,1,The music and lyrics of the anthem of India were written by Rabindranath Tagore.,Who is the author of the lyrics and music of the Indian national anthem?,Qui est l'auteur des paroles et de la musique de l'hymne national indien ?,Wer ist der Autor des Textes und der Musik der indischen Nationalhymne?,מי הוא מחבר המילים והלחן של ההמנון הלאומי ההודי?,من هو مؤلف كلمات ونغم النشيد الوطني الهندي؟,印度国歌的歌词和曲作者是谁？,Кто является автором слов и музыки гимна Индии?
1496,0,"The Volvo trademark is jointly owned by the Volvo Group and Volvo Car Corporation, which is owned by the Geely conglomerate.",Who owns Volvo?,À qui appartient Volvo ?,Wem gehört Volvo?,למי שייכת וולוו?,من يملك فولفو؟,沃尔沃归谁所有？,Кому принадлежит Volvo?
1497,0,"Barnaul International Airport is named after Gherman Stepanovich Titov, and a Palace of Entertainment and Sports in Barnaul is also named after him.",Which object in Barnaul is named after German Stepanovich Titov?,Quel objet à Barnaoul porte le nom de German Stepanovich Titov ?,Welches Objekt in Barnaul ist nach German Stepanowitsch Titow benannt?,איזה אובייקט בברנאול נקרא על שמו של גרמן סטפנוביץ' טיטוב?,أي معلم في بارناول يحمل اسم جيرمان ستيبانوفيتش تيتوف؟,巴尔瑙尔有哪些以格尔曼·斯捷潘诺维奇·季托夫命名的物体？,Какой объект в Барнауле назван в честь Германа Степановича Титова?
1498,1,"Neo, also known as Thomas A. Anderson, and also called ""The One"", is the main character in the Matrix series, played by Canadian actor Keanu Reeves in all three films.",What was the name of Keanu Reeves' character in The Matrix trilogy?,Quel était le nom du personnage de Keanu Reeves dans la trilogie Matrix ?,Wie hieß die Figur von Keanu Reeves in der Matrix-Trilogie?,מה היה שמו של הדמות שגילם קיאנו ריבס בטרילוגיית המטריקס?,ما اسم شخصية كيانو ريفز في ثلاثية ذا ماتريكس؟,基努·里维斯在《黑客帝国》三部曲中饰演的角色叫什么名字？,Как звали персонажа Киану Ривза в трилогии «Матрица»?
1499,1,"From 1867 to 1921, Almaty was called the city of Verny.",What was the name of the city of Alma-Ata before 1921?,Quel était le nom de la ville d'Alma-Ata avant 1921 ?,Wie hieß die Stadt Alma-Ata vor 1921?,מה היה שמה של העיר אלמה-אטה לפני 1921?,ما كان اسم مدينة ألماآتا قبل عام 1921؟,1921年以前，阿拉木图这座城市叫什么名字？,Как назывался город Алма-Ата до 1921 г.?
1500,1,Mount Fuji is a stratovolcano that is located on the island of Honshu near the border of Yamanashi and Shizuoka prefectures.,On which island is Mount Fuji located?,Sur quelle île se trouve le mont Fuji ?,Auf welcher Insel befindet sich der Berg Fuji?,באיזה אי נמצא הר פוג'י?,في أي جزيرة يقع جبل فوجي؟,富士山位于哪座岛上？,На каком острове находится вулкан Фудзияма?
1501,1,"The kings of Denmark and Norway belong to the House of Oldenburg, more specifically the Schleswig-Holstein-Sonderburg-Glücksburg branch of the House of Oldenburg.",Branches of which royal dynasty reign in Denmark and Norway?,Les branches de quelle dynastie royale règnent au Danemark et en Norvège ?,Zweige welcher königlichen Dynastie herrschen in Dänemark und Norwegen?,ענפים של איזו שושלת מלוכה שולטים בדנמרק ובנורווגיה?,فروع أي سلالة ملكية تحكم في الدنمارك والنرويج؟,哪个王朝的分支在丹麦和挪威统治？,Ветви какой королевской династии правят в Дании и Норвегии?
1502,1,Karl Heinrich Marx was born in the city of Trier in the Rhineland province of the Kingdom of Prussia.,In which city was Karl Marx born?,Dans quelle ville Karl Marx est-il né ?,In welcher Stadt wurde Karl Marx geboren?,באיזו עיר נולד קרל מרקס?,في أي مدينة وُلد كارل ماركس؟,卡尔·马克思出生于哪座城市？,В каком городе родился Карл Маркс?
1503,1,A voltmeter is a measuring instrument for determining the voltage in electrical circuits. The voltage can also be measured with a multimeter.,What is the name of the device for measuring electric voltage?,Quel est le nom de l'appareil servant à mesurer la tension électrique ?,Wie heißt das Gerät zur Messung der elektrischen Spannung?,מה שמו של המכשיר למדידת מתח חשמלי?,ما اسم الجهاز الذي يُستخدم لقياس الجهد الكهربائي؟,用于测量电压的仪器叫什么名字？,Как называется прибор для измерения электрического напряжения?
1504,1,Rigoletto was a jester at the king's court.,Who was Rigoletto at the king's court?,Qui était Rigoletto à la cour du roi ?,Wer war Rigoletto am Hof des Königs?,מי היה ריגולטו בחצר המלך?,من كان ريغوليتو في بلاط الملك؟,里戈莱托在国王的宫廷里是谁？,Кем был Риголетто при дворе короля
1505,1,The capital of the US state of Alaska is the city of Juneau.,Which city is the capital of the state of Alaska?,Quelle ville est la capitale de l'État d'Alaska ?,Welche Stadt ist die Hauptstadt des Bundesstaates Alaska?,איזו עיר היא בירת מדינת אלסקה?,ما هي المدينة التي تعتبر عاصمة ولاية ألاسكا؟,阿拉斯加州的首府是哪个城市？,Какой город является столицей штата Аляска?
1506,1,"Audrey Hepburn received an Academy Award for Best Actress for her role in the American film ""Roman Holiday"".",For which film did Audrey Hepburn receive the Oscar for Best Actress?,Pour quel film Audrey Hepburn a-t-elle reçu l'Oscar de la meilleure actrice ?,Für welchen Film erhielt Audrey Hepburn den Oscar als beste Hauptdarstellerin?,עבור איזה סרט אודרי הפבורן קיבלה את האוסקר לשחקנית הטובה ביותר?,عن أي فيلم حصلت أودري هيبورن على جائزة الأوسكار لأفضل ممثلة؟,奥黛丽·赫本因哪部电影获得了奥斯卡最佳女主角奖？,"За какой фильм Одри Хепберн была удостоена премии ""Оскар"" в номинации ""лучшая актриса""?"
1507,1,"""Hotel California"" is a song by the Eagles from their album of the same name.",Which band performs the song Hotel California?,Quel groupe interprète la chanson Hotel California ?,Welche Band spielt das Lied Hotel California?,איזו להקה מבצעת את השיר Hotel California?,أي فرقة تؤدي أغنية Hotel California؟,哪支乐队演唱了《Hotel California》这首歌？,Какая группа исполняет песню Отель Калифорния?
1508,0,"The Rock and Roll Hall of Fame and Museum is a museum and organization located in Cleveland, Ohio, United States.",In which US city is the main Hall and Museum of Rock and Roll Fame located?,Dans quelle ville des États-Unis se trouvent le principal Hall et le Musée du Rock and Roll Hall of Fame ?,In welcher US-Stadt befinden sich die Haupthalle und das Museum der Rock and Roll Hall of Fame?,באיזו עיר בארצות הברית נמצאים האולם הראשי והמוזיאון של היכל התהילה של הרוק אנד רול?,في أي مدينة أمريكية يقع القاعة الرئيسية ومتحف قاعة مشاهير الروك أند رول؟,美国哪个城市是摇滚名人堂的主馆和博物馆所在地？,В каком городе США находится главный Зал и музей славы рок-н-ролла?
1509,1,Daenerys is the daughter of King Aerys II Targaryen the Mad of Westeros and Rhaella Targaryen.,Whose daughter is Daenerys?,De qui Daenerys est-elle la fille ?,Wessen Tochter ist Daenerys?,בת של מי היא דאינריז?,ابنة من هي دينيريس؟,丹妮莉丝是谁的女儿？,Чьей дочерью является Дейнерис?
1510,0,"Benfica is a Portuguese football club from the city of Lisbon, competing in the Primeira Liga.",In which league does Benfica play?,Dans quelle ligue joue Benfica ?,In welcher Liga spielt Benfica?,באיזו ליגה בנפיקה משחקת?,في أي دوري يلعب بنفيكا؟,本菲卡参加哪个联赛？,В какой лиге играет Бенфика?
1511,0,The football club Porto plays in the Primeira Liga (the championship of Portugal).,In which league does Porto play?,Dans quel championnat joue Porto ?,In welcher Liga spielt Porto?,באיזו ליגה פורטו משחקת?,في أي دوري يلعب بورتو؟,波尔图参加哪个联赛？,В какой лиге играет Порту?
1512,1,London is situated on the Thames.,On which river is London situated?,Sur quel fleuve est située Londres ?,An welchem Fluss liegt London?,על איזה נהר שוכנת לונדון?,على أي نهر تقع لندن؟,伦敦位于哪条河上？,На какой реке стоит Лондон?
1513,1,Urfin Jus was a carpenter.,What was the profession of the fairy-tale character Urfin Jus?,Quelle était la profession du personnage de conte de fées Urfin Jus ?,Was war der Beruf der Märchenfigur Urfin Jus?,מה הייתה המקצוע של דמות האגדה אורפין ג'וס?,ما كانت مهنة شخصية الحكاية الخرافية أورفين جوس؟,童话人物乌尔芬·朱斯的职业是什么？,Кем был по профессии сказочный Урфин Джюс?
1514,1,"""Chervona Ruta"" is a pop song by Ukrainian composer Volodymyr Ivasyuk.",Who is the author of the most popular Ukrainian song 'Chervona Ruta'?,Qui est l'auteur de la chanson ukrainienne la plus populaire 'Chervona Ruta' ?,Wer ist der Autor des beliebtesten ukrainischen Liedes 'Chervona Ruta'?,מיהו מחבר השיר האוקראיני הפופולרי ביותר 'Chervona Ruta'?,من هو مؤلف أشهر أغنية أوكرانية 'Chervona Ruta'؟,谁是最受欢迎的乌克兰歌曲《Chervona Ruta》的作者？,"Кто автор популярнейшей украинской песни ""Червона рута""?"
1515,1,"""Conduit and Shvambrania"" is an autobiographical novella by Soviet writer Lev Kassil.",Who wrote the novella 'Konduit i Shvambraniya'?,Qui a écrit la novella 'Konduit i Shvambraniya' ?,Wer hat die Novelle 'Konduit i Shvambraniya' geschrieben?,מי כתב את הנובלה 'קונדויט ושוואמברניה'?,من كتب الرواية القصيرة 'كوندويت وشفمبرانيا'؟,谁写了中篇小说《康杜伊特与什万布拉尼亚》？,Кто написал повесть «Кондуит и Швамбрания»?
1516,1,"""The Vision to the Youth Bartholomew"" is a painting by the Russian artist Mikhail Nesterov.",Who painted the picture 'The Vision to the Youth Bartholomew'?,Qui a peint le tableau 'La Vision au jeune Barthélemy' ?,Wer hat das Gemälde 'Die Vision des jungen Bartholomäus' gemalt?,מי צייר את התמונה 'החזון לנער ברתולומיאוס'?,من رسم اللوحة 'الرؤية للشاب بارثولوميو'؟,谁画了《巴塞洛缪少年之异象》这幅画？,"Кто написал картину ""Видение отроку Варфоломею""?"
1517,1,"The construction of St. Isaac's Cathedral involved several leading architects of the first quarter of the 18th century: N. Gerbel, G. Quarenghi, M. Zemtsov, with the architect Auguste Montferrand being the author of the project.",Which architect built St. Isaac's Cathedral in St. Petersburg?,Quel architecte a construit la cathédrale Saint-Isaac à Saint-Pétersbourg ?,Welcher Architekt hat die Isaakskathedrale in Sankt Petersburg gebaut?,איזה אדריכל בנה את קתדרלת סנט אייזק בסנט פטרסבורג?,أي مهندس معماري بنى كاتدرائية القديس إسحاق في سانت بطرسبرغ؟,哪位建筑师建造了圣彼得堡的圣伊萨克大教堂？,Какой архитектор построил Исаакиевский собор в Санкт-Петербурге?
1518,1,Fyodor Chaliapin had a deep bass.,What singing voice did Fyodor Chaliapin have?,Quelle était la tessiture de voix de Fiodor Chaliapine ?,Welche Gesangsstimme hatte Fjodor Schaljapin?,איזה סוג קול שירה היה לפיודור שאליאפין?,ما نوع صوت الغناء الذي كان لدى فيودور شاليابين؟,费奥多尔·沙利亚平是什么类型的歌唱嗓音？,Какой певческий голос был у Фёдора Шаляпина?
1519,1,"""The Adventures of Sherlock Holmes and Dr. Watson"" is a series of television films (miniseries) shot in 1979-1986 by director Igor Maslennikov.",Who is the director of the Soviet version of the TV series about Sherlock Holmes?,Qui est le réalisateur de la version soviétique de la série télévisée sur Sherlock Holmes ?,Wer ist der Regisseur der sowjetischen Version der Fernsehserie über Sherlock Holmes?,מי הבמאי של הגרסה הסובייטית של סדרת הטלוויזיה על שרלוק הולמס?,من هو مخرج النسخة السوفيتية من المسلسل التلفزيوني عن شيرلوك هولمز؟,关于福尔摩斯的苏联版电视剧的导演是谁？,Кто режиссёр советской версии телесериала о Шерлоке Холмсе?
1520,1,"Philately is the study of stamps and postal history and other related items, including, but not limited to, postal stationery, envelopes, postmarks, and the like.",What is the name for stamp collecting?,Comment s'appelle la collection de timbres ?,Wie nennt man das Sammeln von Briefmarken?,איך נקראת תחביב איסוף הבולים?,ما اسم جمع الطوابع البريدية؟,集邮叫什么？,Как называется коллекционирование марок?
1521,0,The Amsterdam football club Ajax plays in the Eredivisie and the Champions League.,In which league does Ajax play?,Dans quelle ligue joue l'Ajax ?,In welcher Liga spielt Ajax?,באיזו ליגה משחקת אייאקס?,في أي دوري يلعب أياكس؟,阿贾克斯参加哪个联赛？,В какой лиге играет Аякс?
1522,1,"""Solidarity"" is a Polish trade union federation. The founder and historical leader of Solidarity is considered to be Lech Wałęsa.","What was the name of the first independent trade union in socialist Poland, led by the future president Lech Wałęsa?","Quel était le nom du premier syndicat indépendant en Pologne socialiste, dirigé par le futur président Lech Wałęsa ?","Wie hieß die erste unabhängige Gewerkschaft im sozialistischen Polen, die vom späteren Präsidenten Lech Wałęsa geführt wurde?","מה היה שמו של ארגון העובדים העצמאי הראשון בפולין הסוציאליסטית, בראשותו של הנשיא לעתיד לך ואלנסה?",ما اسم أول نقابة عمالية مستقلة في بولندا الاشتراكية، التي قادها الرئيس المستقبلي ليخ فاوينسا؟,在社会主义波兰，由未来总统莱赫·瓦文萨领导的第一个独立工会叫什么名字？,"Как назывался первый в социалистической Польше независимый профсоюз, во главе которого стоял будущий президент Лех Валенса?"
1523,1,"Contra is a series of Japanese video games produced by Konami, in the run-and-gun action genre.",Which game developer created Contra?,Quel développeur de jeux a créé Contra ?,Welcher Spieleentwickler hat Contra entwickelt?,איזו חברת משחקים יצרה את קונטרה?,أي مطور ألعاب أنشأ لعبة كونترا؟,是哪家游戏开发商制作了《魂斗罗》？,Какой разработчик игр создал Contra?
1524,1,"""Tancredi"" is an opera by Gioachino Rossini to a libretto by Gaetano Rossi, based on Voltaire's play of the same name, in two acts.","Who is the composer of the opera 'Tancred', written after the play of the same name by Voltaire?","Qui est le compositeur de l'opéra 'Tancrède', écrit d'après la pièce du même nom de Voltaire ?","Wer ist der Komponist der Oper 'Tancredi', die nach dem gleichnamigen Stück von Voltaire geschrieben wurde?","מי המלחין של האופרה 'טנקרד', שנכתבה על פי המחזה באותו שם מאת וולטר?",من هو مؤلف أوبرا 'تانكريد'، التي كُتبت بعد مسرحية بنفس الاسم لفولتير؟,根据伏尔泰同名戏剧创作的歌剧《坦克雷德》的作曲家是谁？,"Кто является автором оперы «Танкред», написанной по одноимённой драме Вольтера?"
1525,1,"Penelope is a character in Greek mythology, the wife of King Odysseus of Ithaca.",What was the name of Odysseus's wife?,Quel était le nom de la femme d'Ulysse ?,Wie hieß die Frau von Odysseus?,מה היה שמה של אשתו של אודיסאוס?,ما اسم زوجة أوديسيوس؟,奥德修斯的妻子叫什么名字？,Как звали жену Одиссея?
1526,1,The Mikhailovsky Palace was built to the design of the architect Carlo Rossi.,Who designed the Mikhailovsky Palace?,Qui a conçu le palais Mikhaïlovski ?,Wer hat den Michailowski-Palast entworfen?,מי תכנן את ארמון מיכאילובסקי?,من صمّم قصر ميخايلوفسكي؟,谁设计了米哈伊洛夫斯基宫？,Кто спроектировал Михайловский дворец?
1527,1,"Tenochtitlán is the old name for the capital of Mexico, Mexico City. The city was the capital of the Aztec Empire from the 14th century until 1521.",What was the name of the capital of the Aztec state?,Quel était le nom de la capitale de l'État aztèque ?,Wie hieß die Hauptstadt des Aztekenreichs?,מה היה שמה של בירת ממלכת האצטקים?,ما كان اسم عاصمة دولة الأزتك؟,阿兹特克国家的首都叫什么名字？,Как называлась столица государства ацтеков?
1528,1,"Tenochtitlán was the capital of the Aztec state, located on the site of modern-day Mexico City.",Which city stood on the site of Mexico's capital?,Quelle ville se trouvait à l'emplacement de la capitale du Mexique ?,Welche Stadt stand an der Stelle der heutigen Hauptstadt Mexikos?,איזו עיר עמדה במקום שבו נמצאת כיום בירת מקסיקו?,أي مدينة كانت قائمة في موقع عاصمة المكسيك الحالية؟,墨西哥首都所在地以前是哪座城市？,Какой город стоял на месте столицы Мексики?
1529,1,Antananarivo is the capital of Madagascar.,Which of the cities is the capital of Madagascar?,Laquelle de ces villes est la capitale de Madagascar ?,Welche dieser Städte ist die Hauptstadt von Madagaskar?,איזה מהערים היא בירת מדגסקר?,أي من هذه المدن هي عاصمة مدغشقر؟,以下哪些城市是马达加斯加的首都？,Какой из городов является столицей Мадагаскара?
1530,1,Tequila is a distilled beverage that is made from the fermentation of sugars found in the blue agave.,Which plant is processed into tequila?,Quelle plante est transformée en tequila ?,Welche Pflanze wird zu Tequila verarbeitet?,איזו צמח מעובד לטקילה?,أي نبات يُعالَج ليصبح تيكيلا؟,哪种植物被加工成龙舌兰酒？,Какое растение перерабатывают в текилу
1531,1,"On May 30, 1431, Joan of Arc was burned at the stake in the Old Market Square in Rouen.",In which city was Joan of Arc burned?,Dans quelle ville Jeanne d'Arc a-t-elle été brûlée ?,In welcher Stadt wurde Jeanne d’Arc verbrannt?,באיזו עיר נשרפה ז'אן ד'ארק?,في أي مدينة أُحرقت جان دارك؟,圣女贞德是在哪个城市被烧死的？,В каком городе была сожжена Жанна Д'арк?
1532,1,Dhaka is the capital of Bangladesh.,Dhaka is the capital of which city?,Dhaka est la capitale de quelle ville ?,Dhaka ist die Hauptstadt welcher Stadt?,דאקה היא בירת איזו עיר?,دكا هي عاصمة أي مدينة؟,达卡是哪个城市的首都？,Столицей какого города является Дакка?
1533,1,A ufologist is a person who deals with problems and research related to unidentified flying objects - UFOs or ULOs.,Which specialist studies unidentified flying objects?,Quel spécialiste étudie les objets volants non identifiés ?,Welcher Spezialist untersucht unbekannte Flugobjekte?,איזה מומחה חוקר עצמים מעופפים בלתי מזוהים?,أي اختصاصي يدرس الأجسام الطائرة المجهولة الهوية؟,哪种专家研究不明飞行物？,Какой специалист занимается изучением неопознанных летающих объектов?
1534,1,The chief editor of the first edition of the GSE was Academician Otto Yulievich Schmidt.,Who was the first editor-in-chief of the first edition of the Great Soviet Encyclopedia?,Qui était le premier rédacteur en chef de la première édition de la Grande Encyclopédie soviétique ?,Wer war der erste Chefredakteur der ersten Ausgabe der Großen Sowjetischen Enzyklopädie?,מיהו העורך הראשי הראשון של המהדורה הראשונה של האנציקלופדיה הסובייטית הגדולה?,من كان أول رئيس تحرير للطبعة الأولى من الموسوعة السوفيتية الكبرى؟,谁是《苏联大百科全书》第一版的首任主编？,Кто был первым главным редактором первого издания БСЭ?
1535,1,The online gaming platform Roblox was developed by David Baszucki.,Who developed Roblox?,Qui a développé Roblox ?,Wer hat Roblox entwickelt?,מי פיתח את רובלוקס?,من طور روبلوكس؟,谁开发了Roblox？,Кто разработал Roblox?
1536,1,The Republic of Niger is located in the northeast of West Africa.,In which region of Africa is the Republic of Niger located?,Dans quelle région de l'Afrique se trouve la République du Niger ?,In welcher Region Afrikas liegt die Republik Niger?,באיזה אזור באפריקה נמצאת רפובליקת ניז'ר?,في أي منطقة من أفريقيا تقع جمهورية النيجر؟,尼日尔共和国位于非洲的哪个地区？,В каком регионе Африки находится Республика Нигер?
1537,0,"Star Wars is produced by Lucasfilm, a subsidiary of Walt Disney Studios.",Which film company produces Star Wars?,Quelle société de production produit Star Wars ?,Welche Filmfirma produziert Star Wars?,איזו חברת סרטים מפיקה את מלחמת הכוכבים?,أي شركة أفلام تنتج حرب النجوم؟,哪家电影公司制作《星球大战》？,Какая кинокомпания снимает Звездные Войны?
1538,1,"Camille Saint-Saëns wrote the suite ""Carnival of the Animals"".",Who is the composer of the musical fantasy 'The Carnival of the Animals'?,Qui est le compositeur de la fantaisie musicale 'Le Carnaval des animaux' ?,Wer ist der Komponist der musikalischen Fantasie 'Der Karneval der Tiere'?,מיהו המלחין של הפנטזיה המוזיקלית 'קרנבל החיות'?,من هو مؤلف الفانتازيا الموسيقية 'كرنفال الحيوانات'؟,《动物狂欢节》这部音乐幻想曲的作曲家是谁？,Кто автор музыкальной фантазии «Карнавал животных»?
1539,1,"The company Mercedes-Benz came into existence as a result of the merger of two competing firms, Benz & Cie. (founded by Karl Benz) and Daimler-Motoren-Gesellschaft (founded by Gottlieb Daimler), into a single conglomerate - Daimler-Benz. The brand name is derived from the two most significant vehicles of the merged companies - the 1901 Mercedes and the 1886 Benz Patent-Motorwagen.",Who founded the Mercedes company?,Qui a fondé la société Mercedes ?,Wer hat das Unternehmen Mercedes gegründet?,מי ייסד את חברת מרצדס?,من أسس شركة مرسيدس؟,谁创立了梅赛德斯公司？,Кто основал компанию Мерседес?
1540,1,Miloš Zeman is the third President of the Czech Republic and the first president to be directly elected by a popular vote on 8 March 2013.,Who became the first president of the Czech Republic in 2013 to be elected by a popular vote?,Qui est devenu le premier président de la République tchèque en 2013 à être élu au suffrage universel ?,"Wer wurde 2013 der erste Präsident der Tschechischen Republik, der durch eine Volkswahl gewählt wurde?",מי היה לנשיא הראשון של צ'כיה שנבחר בבחירות ישירות בשנת 2013?,من أصبح أول رئيس لجمهورية التشيك يُنتخب بالاقتراع الشعبي في عام 2013؟,谁在2013年成为捷克共和国首位通过全民投票选举产生的总统？,"Кто в 2013 году стал первым президентом Чехии, избранным путём всенародных выборов?"
1541,1,"The mausoleum of Timur is located in Samarkand, Uzbekistan.",Where is Tamerlane's tomb?,Où se trouve le tombeau de Tamerlan ?,Wo befindet sich das Grab von Timur (Tamerlan)?,היכן נמצא קברו של טימור לנג (תימורלנג)?,أين يقع قبر تيمورلنك؟,帖木儿的陵墓在哪里？,Где гробница Тамерлана?
1542,1,"Thetis, one of the fifty daughters of the sea god Nereus, is the mother of Achilles.",Who was the mother of Achilles?,Qui était la mère d'Achille ?,Wer war die Mutter von Achilleus?,מי הייתה אמו של אכילס?,من كانت والدة أخيل؟,阿基里斯的母亲是谁？,Кто была мать Ахиллеса?
1543,1,The ancient Greek poet Sappho lived on the island of Lesbos.,On which island did the ancient Greek poetess Sappho live?,Sur quelle île la poétesse grecque antique Sappho a-t-elle vécu ?,Auf welcher Insel lebte die antike griechische Dichterin Sappho?,על איזה אי חיה המשוררת היוונית העתיקה סאפפו?,في أي جزيرة عاشت الشاعرة اليونانية القديمة صافو؟,古希腊女诗人萨福生活在哪个岛上？,На каком острове жила древнегреческая поэтесса Сапфо?
